date,hour,home_team,away_team,score,home_goals,away_goals,datetime,odds_1,result,over_under_25,odds_over_under_25,goal_no_goal,odds_goal_no_goal
13-05-2025,16:10:00,Belgio,Uruguay,3-0,3,0,2025-05-13 16:10:00,284,1,"Over 2,5 Goal",248,NG,139
13-05-2025,16:04:00,Argentina,Italia,0-1,0,1,2025-05-13 16:04:00,229,2,"Under 2,5 Goal",130,NG,138
13-05-2025,15:58:00,Portogallo,Svizzera,1-0,1,0,2025-05-13 15:58:00,221,1,"Under 2,5 Goal",129,NG,138
13-05-2025,15:52:00,Olanda,Portogallo,2-0,2,0,2025-05-13 15:52:00,226,1,"Under 2,5 Goal",130,NG,138
13-05-2025,15:46:00,Messico,Spagna,1-0,1,0,2025-05-13 15:46:00,254,1,"Under 2,5 Goal",128,NG,137
13-05-2025,15:40:00,Italia,Turchia,2-0,2,0,2025-05-13 15:40:00,213,1,"Under 2,5 Goal",128,NG,137
13-05-2025,15:34:00,Inghilterra,Messico,1-0,1,0,2025-05-13 15:34:00,217,1,"Under 2,5 Goal",129,NG,137
13-05-2025,15:28:00,Francia,Olanda,1-1,1,1,2025-05-13 15:28:00,319,X,"Under 2,5 Goal",129,GG,225
13-05-2025,15:22:00,Danimarca,Germania,2-0,2,0,2025-05-13 15:22:00,239,1,"Under 2,5 Goal",130,NG,138
13-05-2025,15:16:00,Croazia,Spagna,0-2,0,2,2025-05-13 15:16:00,224,2,"Under 2,5 Goal",130,NG,138
13-05-2025,15:10:00,Cile,Francia,2-2,2,2,2025-05-13 15:10:00,327,X,"Over 2,5 Goal",246,GG,222
13-05-2025,15:04:00,Belgio,Colombia,1-2,1,2,2025-05-13 15:04:00,289,2,"Over 2,5 Goal",248,GG,219
13-05-2025,14:58:00,Argentina,Brasile,1-1,1,1,2025-05-13 14:58:00,325,X,"Under 2,5 Goal",130,GG,222
13-05-2025,14:52:00,Olanda,Spagna,0-1,0,1,2025-05-13 14:52:00,229,2,"Under 2,5 Goal",130,NG,138
13-05-2025,14:46:00,Nigeria,Svizzera,1-0,1,0,2025-05-13 14:46:00,268,1,"Under 2,5 Goal",130,NG,139
13-05-2025,14:40:00,Croazia,Turchia,2-1,2,1,2025-05-13 14:40:00,213,1,"Over 2,5 Goal",252,GG,224
